Date	Price Open	Price Low	Price High	Price Close	Volume
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2006-12-18		44737.04667529	61818.464496764	52057.654313065	174760
2006-12-19		49617.45176714	53586.847908511	49617.45176714	194609
2006-12-20		47990.650069857	50430.852615781	47990.650069857	83280
2006-12-21		43370.533249572	43923.645826648	43370.533249572	53938
2006-12-22		39092.044785717	39092.044785717	39092.044785717	6041
2006-12-25		35187.720712237	38229.839886157	38229.839886157	350815
2006-12-26		32210.673606209	38229.839886157	36603.038188874	87596
2006-12-27		34976.23649159	38229.839886157	34976.23649159	196335
2006-12-28		34976.23649159	35789.637340232	35301.596831047	202808
2006-12-29		34162.835642949	35382.936915911	34976.23649159	124705
2007-01-02		32536.033945665	37579.119207244	34976.23649159	125568
2007-01-03		34976.23649159	35789.637340232	35122.648644346	136787
2007-01-04		35138.916661319	35789.637340232	35789.637340232	166130
2007-01-05		37091.078698059	38978.168666907	38978.168666907	20280
2007-01-08		40995.402771539	42426.988265148	41971.483789908	134630
2007-01-09		37969.551614592	46396.384406519	46396.384406519	311548
2007-01-10		47421.269475807	49926.544089624	47990.650069857	377137
2007-01-11		48804.050918498	52057.654313065	52057.654313065	346500
2007-01-12		51569.61380388	55896.906318653	52871.055161706	535069
2007-01-15		53196.415501163	58076.820593013	53684.456010348	207986
2007-01-16		48641.37074877	54985.897368175	50430.852615781	155342
2007-01-17		48804.050918498	52871.055161706	50430.852615781	430213
2007-01-18		47990.650069857	51569.61380388	51569.61380388	289973
2007-01-19		50593.53278551	52057.654313065	51406.933634151	373254
2007-01-22		51244.253464423	56856.71932005	53684.456010348	576925
2007-01-23		52073.922330038	54985.897368175	53684.456010348	228267
2007-01-24		53700.724027321	54660.537028718	53700.724027321	128589
2007-01-25		52871.055161706	53700.724027321	53033.735331435	241212
2007-01-26		51081.573294695	52057.654313065	51260.521481396	131178
2007-01-29		50430.852615781	53196.415501163	53033.735331435	293425
2007-01-30		52871.055161706	56124.658556273	54497.85685899	516514
2007-01-31		54985.897368175	60582.095206829	60582.095206829	702494
2007-02-01		56938.059404915	65072.067891331	60517.023138938	151459
2007-02-02		60191.662799481	63445.266194048	61818.464496764	284363
2007-02-05		55262.453656713	60842.383478394	59866.302460024	61705
2007-02-06		58548.593085225	59378.261950839	59199.313764138	127726
2007-02-07		59052.901611383	59866.302460024	59052.901611383	201945
2007-02-08		53456.703772728	59052.901611383	54660.537028718	196335
2007-02-09		53847.136180076	56938.059404915	54660.537028718	198925
2007-02-12		53684.456010348	57914.140423285	57751.460253556	99246
2007-02-13		58076.820593013	58564.861102198	58239.500762741	37109
2007-02-14		57100.739574643	58646.201187062	58402.18093247	79397
2007-02-15		58564.861102198	64193.594974798	61802.196479792	108308
2007-02-26		64258.667042689	67349.590267528	67349.590267528	190294
2007-02-27		66698.869588614	73043.396208019	73043.396208019	233445
2007-02-28		69627.112643724	74019.477226389	70765.873831822	42719
2007-03-01		65625.180468407	71904.635019921	70603.193662094	63431
2007-03-02		68483.45717122	71744.574179373	70114.015675297	143260
2007-03-05		70114.015675297	73212.076833042	71907.630029781	162246
2007-03-06		71092.350777743	74353.467785896	71581.518328966	51780
2007-03-07		70929.294927335	71744.574179373	70929.294927335	107445
2007-03-08		70114.015675297	72559.853431412	70440.127376112	106150
2007-03-09		69950.959824889	71744.574179373	71728.268594333	157931
2007-03-12		70114.015675297	71744.574179373	70114.015675297	76376
2007-03-13		67179.010367959	70440.127376112	67179.010367959	162246
2007-03-14		61700.333794261	68483.45717122	67668.177919182	353404
2007-03-15		56417.324241053	67668.177919182	61961.223154913	172171
2007-03-16		60330.664650837	66950.732177388	66037.619415105	94500
2007-03-19		60037.164120103	73375.13268345	68157.345470405	143260
2007-03-20		63591.78165899	70929.294927335	66689.842816736	123842
2007-03-21		65222.340163067	66852.898667143	66037.619415105	201514
2007-03-22		64423.366496069	66200.675265513	65059.284312659	100541
2007-03-23		58781.634071964	65222.340163067	64374.449740947	107013
2007-03-26		57460.881683662	61961.223154913	57460.881683662	231288
2007-03-27		52422.455906065	55275.933288199	53482.318933715	198061
2007-03-28		49242.866823115	58080.493915211	58047.882745129	116938
2007-03-29		56743.435941868	58700.10614676	57395.659343499	197198
2007-03-30		54623.709886568	60004.552950021	54786.765736976	80260
2007-04-02		52177.872130453	55275.933288199	52503.983831269	195041
2007-04-03		51362.592878415	52993.151382492	52177.872130453	81123
2007-04-04		52993.151382492	53808.43063453	52993.151382492	57390
2007-04-05		52830.095532084	54460.654036161	52993.151382492	72493
2007-04-06		52667.039681676	55112.877437791	55112.877437791	166993
2007-04-09		53808.43063453	55096.571852751	53808.43063453	19849
2007-04-10		53808.43063453	54623.709886568	54134.542335345	81986
2007-04-11		53498.624518755	54460.654036161	53563.846858918	36246
2007-04-12		52667.039681676	53808.43063453	52748.56760688	111328
2007-04-13		52177.872130453	52830.095532084	52177.872130453	117370
2007-04-16		49079.810972708	52177.872130453	49732.034374338	83712
2007-04-17		45427.359923576	55504.21147877	55504.21147877	540679
2007-04-18		53482.318933715	55438.989138607	54004.097655019	210575
2007-04-19		53808.43063453	54623.709886568	53808.43063453	112191
2007-04-20		52177.872130453	53808.43063453	53156.207232899	51780
2007-04-23		51199.537028007	52340.927980861	51362.592878415	82417
2007-04-24		49405.922673523	51362.592878415	49813.562299542	94931
2007-04-25		49732.034374338	51525.648728823	51346.287293374	88027
2007-05-02		51851.760429638	52993.151382492	52177.872130453	176486
2007-05-03		51362.592878415	53808.43063453	51362.592878415	27184
2007-05-04		49732.034374338	52177.872130453	50221.201925561	52643
2007-05-07		48916.7551223	52667.039681676	52161.566545413	110897
2007-05-08		52177.872130453	54101.931165264	53482.318933715	143260
2007-05-09		53726.902709326	55438.989138607	54949.821587384	172171
2007-05-10		53808.43063453	57069.547642683	56743.435941868	213596
2007-05-11		55602.044989014	57395.659343499	55797.712009504	28047
2007-05-14		55928.15668983	57395.659343499	56580.38009146	16828
2007-05-15		55438.989138607	56254.268390645	55602.044989014	87596
2007-05-16		55112.877437791	55765.100839422	55275.933288199	51780
2007-05-17		53808.43063453	56254.268390645	55178.099777954	46602
2007-05-18		53824.736219571	57069.547642683	56319.490730808	60842
2007-05-21		55602.044989014	58537.050296352	58455.522371148	66452
2007-05-22		58700.10614676	63461.336978664	63461.336978664	191157
2007-05-23		61145.943902875	68483.45717122	61961.223154913	60411
2007-05-24		60346.970235877	61635.111454098	61635.111454098	94068
2007-05-25		59678.441249206	62776.502406952	62776.502406952	75945
2007-05-28		61308.999753283	65222.340163067	62042.751080117	195041
2007-05-29		61635.111454098	62059.056665158	61961.223154913	140239
2007-05-30		60004.552950021	61961.223154913	61308.999753283	50917
2007-05-31		60819.83220206	61472.05560369	61341.610923364	94931
2007-06-01		61308.999753283	61716.639379302	61308.999753283	106150
2007-06-04		61635.111454098	62776.502406952	61651.417039139	306801
2007-06-05		61635.111454098	62042.751080117	61879.695229709	184253
2007-06-06		61798.167304506	61961.223154913	61961.223154913	122548
2007-06-07		61961.223154913	64244.005060621	64244.005060621	237760
2007-06-08		63102.614107767	65548.451863882	65532.146278841	246390
2007-06-11		64407.060911028	71418.462478558	68157.345470405	240349
2007-06-12		66526.786966328	68483.45717122	66526.786966328	106582
2007-06-13		64423.366496069	65711.50771429	65059.284312659	16828
2007-06-14		63754.837509398	67684.483504222	67668.177919182	177349
2007-06-15		65059.284312659	68483.45717122	65727.81329933	9493
2007-06-18		65222.340163067	69135.680572851	69135.680572851	157931
2007-06-19		67505.122068774	68483.45717122	67831.233769589	164404
2007-06-20		66852.898667143	69135.680572851	68499.762756261	209712
2007-06-21		67831.233769589	68809.568872035	68157.345470405	213164
2007-06-22		67831.233769589	67831.233769589	67831.233769589	863
2007-06-25		65222.340163067	67668.177919182	65222.340163067	18986
2007-06-26		66200.675265513	67831.233769589	67668.177919182	118664
2007-06-27		66852.898667143	67668.177919182	67179.010367959	13808
2007-06-28		66037.619415105	67668.177919182	67668.177919182	116507
2007-06-29		66200.675265513	66852.898667143	66461.564626165	18554
2007-07-02		66037.619415105	67668.177919182	66363.73111592	203240
2007-07-03		65222.340163067	67015.954517551	66869.204252184	137650
2007-07-04		66852.898667143	67668.177919182	67668.177919182	144123
2007-07-05		66543.092551369	67668.177919182	66640.926061613	4315
2007-07-06		66526.786966328	67668.177919182	67651.872334141	112191
2007-07-09		67831.233769589	68646.513021628	68483.45717122	100972
2007-07-10		68483.45717122	69787.903974481	69624.848124074	112623
2007-07-11		68483.45717122	70114.015675297	69461.792273666	16828
2007-07-12		68646.513021628	69298.736423258	69298.736423258	10356
2007-07-13		68646.513021628	69298.736423258	69298.736423258	5178
2007-07-16		67831.233769589	69298.736423258	68972.624722443	82417
2007-07-17		68483.45717122	69298.736423258	68483.45717122	53938
2007-07-18		67015.954517551	68972.624722443	67831.233769589	18123
2007-07-19		67831.233769589	68320.401320812	67831.233769589	17691
2007-07-20		67831.233769589	68157.345470405	67831.233769589	10787
2007-07-23		67668.177919182	67994.289619997	67831.233769589	59116
2007-07-24		67342.066218366	67668.177919182	67668.177919182	7335
2007-07-25		67635.5667491	68320.401320812	67994.289619997	64726
2007-07-26		66852.898667143	67831.233769589	66852.898667143	13376
2007-07-27		66836.593082103	67015.954517551	67015.954517551	9493
2007-07-30		66363.73111592	67015.954517551	66852.898667143	105287
2007-07-31		66037.619415105	67179.010367959	66852.898667143	186411
2007-08-01		66852.898667143	67130.093612836	66852.898667143	25027
2007-08-02		66037.619415105	67994.289619997	67994.289619997	94068
2007-08-03		67668.177919182	67668.177919182	67668.177919182	863
2007-08-06		67179.010367959	68320.401320812	67668.177919182	125137
2007-08-07		67015.954517551	68483.45717122	68483.45717122	123411
2007-08-08		68157.345470405	68483.45717122	68450.846001138	32794
2007-08-09		65222.340163067	68646.513021628	68157.345470405	51349
2007-08-10		65222.340163067	68450.846001138	66037.619415105	154048
2007-08-13		65222.340163067	66200.675265513	65858.257979657	87596
2007-08-14		65222.340163067	65222.340163067	65222.340163067	12945
2007-08-15		63999.421285009	64488.588836232	64244.005060621	38835
2007-08-16		62858.030332155	64407.060911028	62858.030332155	20280
2007-08-17		58732.717316842	61961.223154913	58732.717316842	55664
2007-08-20		59026.217847575	60656.776351652	59841.497099614	67315
2007-08-21		58700.10614676	61162.249487916	59515.385398798	167856
2007-08-22		57917.438064803	60004.552950021	57917.438064803	88890
2007-08-23		56254.268390645	59678.441249206	56254.268390645	141102
2007-08-24		61635.111454098	62613.446556544	62613.446556544	68609
2007-08-27		61961.223154913	68401.929246016	62939.558257359	55232
2007-08-28		62776.502406952	64407.060911028	64407.060911028	52643
2007-08-29		62776.502406952	64407.060911028	64407.060911028	28047
2007-08-30		64080.949210213	65059.284312659	64570.116761436	36678
2007-08-31		64570.116761436	64896.228462251	64651.64468664	14239
2007-09-04		64407.060911028	64977.756387455	64407.060911028	5609
2007-09-05		61798.167304506	63591.78165899	61798.167304506	7335
2007-09-06		61961.684189081	62125.171482456	61961.684189081	49623
2007-09-07		61879.940542393	63596.557122829	62942.60794933	79397
2007-09-10		61307.735015581	61798.196895706	61324.083744919	6041
2007-09-11		61144.247722206	62125.171482456	62125.171482456	23301
2007-09-12		63596.557122829	63760.044416204	63678.300769517	11219
2007-09-13		63302.279994755	63923.531709579	63318.628724092	13376
2007-09-14		62615.63336258	62942.60794933	62615.63336258	7767
2007-09-17		62125.171482456	62125.171482456	62125.171482456	8198
2007-09-18		62125.171482456	62141.520211793	62125.171482456	23732
2007-09-19		62125.171482456	62452.146069205	62452.146069205	37541
2007-09-20		62452.146069205	62942.60794933	62615.63336258	40561
2007-09-21		62615.63336258	67029.790283702	63106.095242705	24164
2007-09-24		62942.60794933	65394.917349953	64740.968176454	115212
2007-09-25		65558.404643328	68664.663217451	67847.226750576	86301
2007-09-26		68664.663217451	74419.415944247	69400.356037638	49191
2007-09-27		68664.663217451	70136.048857825	69155.125097575	75513
2007-09-28		69155.125097575	70381.279797887	70299.5361512	55664
2007-10-01		70381.279797887	77198.69993162	77166.002472945	165267
2007-10-02		74386.718485572	80108.773753693	76348.56600607	194609
2007-10-03		75858.104125946	76839.027886195	76675.54059282	67746
2007-10-04		77492.977059695	79291.337286818	77492.977059695	82417
2007-10-05		77166.002472945	78637.388113319	78146.926233194	170877
2007-10-08		79945.286460318	81743.646687441	80926.210220567	182527
2007-10-09		80926.210220567	81743.646687441	81580.159394067	72061
2007-10-10		82234.108567566	84195.956088065	83378.51962119	94931
2007-10-11		82888.057741066	85013.392554939	83868.981501315	76808
2007-10-12		83705.49420794	85013.392554939	84931.648908252	166130
2007-10-15		81743.646687441	90408.47323631	90408.47323631	203240
2007-10-16		90735.44782306	96130.528504431	96130.528504431	143692
2007-10-17		94332.168277307	104779.006323962	96130.528504431	184253
2007-10-18		89918.011356186	101362.121892427	94659.142864057	81123
2007-10-19		94822.630157432	99236.787078554	99073.299785179	124705
2007-10-22		99727.248958679	102996.994826176	102506.532946052	219637
2007-10-23		99727.248958679	104631.867759925	101198.634599053	229993
2007-10-24		99727.248958679	105285.816933425	103814.431293051	203671
2007-10-25		102686.368968764	108081.449650135	102702.717698101	203671
2007-10-26		102179.558359302	106266.740693674	102996.994826176	123411
2007-10-29		98092.37602493	103160.482119551	100381.198132178	106150
2007-10-30		95640.066624307	101035.147305678	98746.325198429	204103
2007-10-31		95836.251376356	99073.299785179	97274.939558055	115212
2007-11-01		96457.503091181	106266.740693674	102670.020239427	147144
2007-11-02		98092.37602493	102996.994826176	99727.248958679	64294
2007-11-05		94822.630157432	97274.939558055	96457.503091181	142397
2007-11-06		93514.731810433	95640.066624307	94822.630157432	79397
2007-11-07		96457.503091181	99727.248958679	97274.939558055	53938
2007-11-08		96457.503091181	98909.812491804	98092.37602493	73787
2007-11-09		94168.680983933	98092.37602493	97928.888731555	137650
2007-11-12		95672.764082982	99727.248958679	96294.015797806	38835
2007-11-13		90081.498649561	95476.579330932	90097.847378898	91048
2007-11-14		93187.757223683	98092.37602493	96457.503091181	95794
2007-11-15		91552.884289934	96130.528504431	94495.655570682	22438
2007-11-16		92779.038990246	96294.015797806	94822.630157432	38404
2007-11-19		94495.655570682	95640.066624307	94822.630157432	29774
2007-11-20		93187.757223683	94168.680983933	93841.706397183	31931
2007-11-21		91552.884289934	96620.990384556	94822.630157432	139808
2007-11-22		94005.193690558	96457.503091181	95149.604744182	62568
2007-11-23		94168.680983933	95640.066624307	94495.655570682	52643
2007-11-26		94659.142864057	96130.528504431	95803.553917681	67315
2007-11-27		94495.655570682	96457.503091181	95476.579330932	66883
2007-11-28		95149.604744182	95803.553917681	95182.302202857	28479
2007-11-29		94822.630157432	95967.041211056	94904.37380412	44013
2007-11-30		94822.630157432	95313.092037557	95313.092037557	74219
2007-12-03		95803.553917681	99727.248958679	98501.094258367	151459
2007-12-04		96947.964971306	98746.325198429	97111.45226468	75082
2007-12-05		95803.553917681	98092.37602493	96457.503091181	124274
2007-12-06		96048.784857744	98092.37602493	96294.015797806	66883
2007-12-07		94005.193690558	98092.37602493	96130.528504431	35815
2007-12-10		93351.244517058	97111.45226468	94871.676345445	92774
2007-12-11		93024.269930308	94495.655570682	93024.269930308	56095
2007-12-12		92533.808050184	94005.193690558	92877.131366271	103130
2007-12-13		92697.295343559	94005.193690558	93106.013576996	131178
2007-12-14		98764.414959219	102335.806750155	102335.806750155	254400
2007-12-17		102291.715493477	109787.229128775	104275.822043997	85120
2007-12-18		99161.236269323	108023.578861646	102071.259210086	82560
2007-12-19		99249.41878268	104496.278327388	101409.890359913	21600
2007-12-20		95237.114424961	100528.065226348	97000.76469209	47360
2007-12-21		96118.939558526	99425.783809393	98367.593649115	73120
2007-12-24		94796.201858179	101409.890359913	96515.76086863	45760
2007-12-25		94090.741751328	95722.118248422	94355.289291397	29600
2007-12-26		93032.55159105	96956.673435412	94796.201858179	11520
2007-12-27		93032.55159105	95545.753221709	94355.289291397	36960
2007-12-28		92591.639024268	94796.201858179	92591.639024268	23680
2008-01-02		90387.076190357	93914.376724615	91268.901323921	15680
2008-01-03		86198.406805926	92150.726457486	87741.600789664	26880
2008-01-04		79761.083330905	89064.33849001	83332.475121841	59520
2008-01-07		80246.087154366	82009.737421495	80686.999721148	72000
2008-01-08		80246.087154366	85977.950522535	83729.296431945	29920
2008-01-09		81568.824854712	82891.562555059	82450.649988277	22880
2008-01-10		74955.136352979	81568.824854712	79805.174587583	29760
2008-01-11		80025.630870975	83244.292608485	80069.722127653	29440
2008-01-14		77159.69918689	80025.630870975	77821.068037063	22400
2008-01-15		70325.554401765	74955.136352979	72750.573519068	35520
2008-01-16		74073.311219414	78173.798090489	78173.798090489	111520
2008-01-17		74955.136352979	83773.387688623	75351.957663083	30560
2008-01-18		74955.136352979	81568.824854712	78482.436887237	35040
2008-01-21		75866.357372156	78925.842269105	77595.631444344	14560
2008-01-22		71831.38453705	76265.420619584	74713.507990697	22400
2008-01-23		71387.980928797	73161.59536181	72496.48994943	29760
2008-01-24		70944.577320543	74935.209794824	71387.980928797	30880
2008-01-25		70944.577320543	72718.191753557	71387.980928797	22560
2008-01-28		70944.577320543	74935.209794824	70988.917681369	13600
